# Hash Exceptions Match: Hash of First Texture, Texture of First Texture, Palette of First Texture, Param, State, Hash Exception Match of Other Texture, First TileID of the First Texture

# 16_02
3fb158ed08d4def,15,2,51,2,45399909c1fe2a19,4094
60f85eb02a4295a7,15,2,51,2,4d3e60fb08a3c1f9,4094
57713cb03d92c9e3,15,2,51,2,64ce38ab12262f59,4094
339285c1d5873ca5,15,2,51,2,6e638c35bcaa0910,4094
7462af4986413e7a,15,2,51,2,a8a08fe6a19eb541,4094
2acf0d55e5ae0f57,15,2,51,2,b985737904110115,4094
f3b7ac8f5d8a6f78,15,2,51,2,c3dd1e524b247c04,4094
b3ebfb4880e80fb4,15,2,51,2,cb0932d9e3149dbc,4094
9f0434f863cbedda,15,2,51,2,cb4c6c22a2bfcb0e,4094
40808e9e0c510f26,15,2,51,2,e19a246a81fb2719,4094

# 17_02
60f85eb02a4295a7,15,2,51,2,2142d2c61d91ec1f,4094
40808e9e0c510f26,15,2,51,2,4572c0e96290ef35,4094
9f0434f863cbedda,15,2,51,2,4e994a9de2d8699b,4094
b3ebfb4880e80fb4,15,2,51,2,6d95606edf6f2005,4094
7462af4986413e7a,15,2,51,2,74edf0569da77988,4094
f3b7ac8f5d8a6f78,15,2,51,2,7e59fb63f43f1f6,4094
2acf0d55e5ae0f57,15,2,51,2,89bd7efa0dba27e0,4094
3fb158ed08d4def,15,2,51,2,95992b05c5ec899,4094
339285c1d5873ca5,15,2,51,2,446fde13ba9d39b7,4094
57713cb03d92c9e3,15,2,51,2,fe3db7302295bdb9,4094
