# Hash Exceptions Match: Hash of First Texture, Texture of First Texture, Palette of First Texture, Param, State, Hash Exception Match of Other Texture, First TileID of the First Texture

# 15_06_2_7		HASH EXCEPTION
4718b8f97256c023,15,6,2,7,cff5b569c7ba32f7,0
4718b8f97256c023,15,6,2,7,13f4438040753587,0
4718b8f97256c023,15,6,2,7,5b5f29a8cee49666,0
4718b8f97256c023,15,6,2,7,49cb3dd1bba38489,0


# 15_06_3_0		HASH EXCEPTION
4718b8f97256c023,15,6,3,0,cff5b569c7ba32f7,0
4718b8f97256c023,15,6,3,0,13f4438040753587,0
4718b8f97256c023,15,6,3,0,5b5f29a8cee49666,0
4718b8f97256c023,15,6,3,0,49cb3dd1bba38489,0
4718b8f97256c023,15,6,3,0,d488458c503efdb4,0


# 15_07_3_1		HASH EXCEPTION
3a7682deea8ad89,15,7,3,1,6004bff03f37b64,0
6d97011de95a83a1,15,7,3,1,e8ab255807321df1,0
6d97011de95a83a1,15,7,3,1,ff353f38563e5c5b,0
6d97011de95a83a1,15,7,3,1,53d14bdbaa3dbc92,0
6d97011de95a83a1,15,7,3,1,9c2c9c2de5aee190,0
462a5bd2a207a831,15,7,3,1,c811300573da310b,0
462a5bd2a207a831,15,7,3,1,ef84372b99d36e06,0
462a5bd2a207a831,15,7,3,1,868bd8b8ae582e0a,0
462a5bd2a207a831,15,7,3,1,40e05a68f8618d5d,0
d496406e63efa04f,15,7,3,1,5a72eeb6473cce8a,0
d496406e63efa04f,15,7,3,1,a18ed7a349d0940f,0
d496406e63efa04f,15,7,3,1,d53ac4156ef74515,0
d496406e63efa04f,15,7,3,1,d488458c503efdb4,0


# 19_07			VIRTUAL LINKS (HASHED IMAGES NOT USED)
# *4718b8f97256c023,15,6,3,0,30610c62dfa0a579
# *4718b8f97256c023,15,6,3,0,389658654d989902
# *4718b8f97256c023,15,6,3,0,40e05a68f8618d5d
# *4718b8f97256c023,15,6,3,0,4c4b5e7844810a02
# *4718b8f97256c023,15,6,3,0,5ad5a2aaa6b08db4
# *4718b8f97256c023,15,6,3,0,65b5788d32f5e6c0
# *4718b8f97256c023,15,6,3,0,78610df9f3110b83
# *4718b8f97256c023,15,6,3,0,8257ae04ac4070e5
# *4718b8f97256c023,15,6,3,0,9275c1f205e7f424
# *4718b8f97256c023,15,6,3,0,9407be310e1036b6
# *4718b8f97256c023,15,6,3,0,a3d00036272551e2
# *4718b8f97256c023,15,6,3,0,b398955c335d07a
# *4718b8f97256c023,15,6,3,0,d022b7944cfff73e
# *4718b8f97256c023,15,6,3,0,e0111fd94f1b7a8f
# *4718b8f97256c023,15,6,3,0,e8be2986ea012e16
# *4718b8f97256c023,15,6,3,0,f8b1d40c5222df5c
